	2022/01/01	2022/01/02	2022/01/03	2022/01/04	2022/01/05	2022/01/06	2022/01/07	2022/01/08	2022/01/09	2022/01/10	2022/01/11	2022/01/12	2022/01/13	2022/01/14	2022/01/15	2022/01/16	2022/01/17	2022/01/18	2022/01/19	2022/01/20	2022/01/21	2022/01/22	
äÚïåés	0	3	1	2	4	14	15	12	13	2	20	28	31	54	48	31	85	95	99	99	18	0	
âHìáés	0	0	0	0	0	1	1	1	1	2	14	13	8	6	6	5	17	12	23	19	2	0	
äeñ±å¥és	0	0	0	0	0	4	3	5	6	2	10	11	22	15	7	25	33	35	46	35	12	0	
éRåßés	0	0	0	1	1	3	0	2	0	0	1	0	0	2	0	2	1	2	3	2	1	0	
êêï‰és	0	0	0	1	2	2	3	0	0	1	4	5	7	3	5	4	11	10	18	39	5	0	
ñ{ëÉés	0	0	0	0	0	0	0	0	0	0	0	1	7	7	3	3	7	5	6	6	0	0	
ä}èºí¨	0	0	0	0	0	0	0	0	2	3	1	1	2	2	0	1	5	1	5	4	3	0	
äÚìÏí¨	0	0	0	0	0	0	1	1	0	5	7	13	15	6	5	4	1	7	6	6	3	0	
ñkï˚í¨	0	0	0	1	0	2	0	1	0	1	2	3	3	1	1	0	1	5	3	5	3	0	
ëÂä_és	0	0	0	1	0	1	6	3	0	1	17	11	34	22	24	17	35	42	48	40	13	0	
äCí√és	0	0	0	0	0	1	2	0	0	0	3	4	2	7	8	2	4	9	17	11	3	0	
ó{òVí¨	0	0	0	0	0	0	0	0	0	0	1	1	2	6	8	10	9	2	5	7	0	0	
ä÷ÉPå¥í¨	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	1	1	0	0	
êÇà‰í¨	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	1	1	4	9	0	0	
à¿î™í¨	0	0	0	0	0	0	0	1	0	0	1	0	1	1	5	0	6	4	1	5	2	0	
ê_åÀí¨	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	2	0	1	6	1	2	0	
ó÷îVì‡í¨	0	0	0	0	0	0	0	0	0	1	1	0	1	1	2	1	5	2	5	4	1	0	
írìcí¨	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	1	0	4	4	2	0	0	
óKî„êÏí¨	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	3	8	3	6	6	0	0	
ëÂñÏí¨	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	3	1	0	
ä÷és	0	0	3	6	9	11	7	3	5	5	9	7	9	7	6	5	9	14	11	9	0	0	
î¸îZés	0	0	0	0	0	1	0	0	0	1	1	6	1	0	2	2	7	6	1	5	1	0	
î¸îZâ¡ñŒés	0	0	1	3	2	1	3	2	1	3	9	17	15	18	13	17	17	38	23	36	1	0	
â¬éôés	0	0	0	0	0	5	3	4	4	9	7	18	8	12	10	20	28	40	23	45	0	0	
åSè„és	0	0	0	0	0	0	0	0	0	0	0	0	2	6	1	3	3	1	1	2	1	0	
êÏï”í¨	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	2	2	0	0	
ç‚èjí¨	0	0	0	0	0	0	2	1	0	2	5	2	2	1	0	0	0	1	0	2	0	0	
îíêÏí¨	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	
ïxâ¡í¨	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	3	4	0	0	
ìåîíêÏë∫	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	3	0	2	0	0	
éµè@í¨	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
î™ïSí√í¨	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	
å‰êìí¨	0	0	0	1	0	0	2	0	0	0	0	2	1	0	1	1	2	4	4	7	0	0	
ëΩé°å©és	0	3	1	17	2	4	9	4	0	3	3	8	10	8	12	8	16	22	13	22	3	0	
íÜí√êÏés	0	0	0	1	1	0	1	1	0	1	8	5	13	23	7	4	9	13	4	9	1	0	
êêòQés	0	0	0	0	0	0	2	0	2	4	7	2	1	6	3	0	14	11	8	15	0	0	
åbìﬂés	0	0	0	0	0	1	1	0	0	0	5	7	14	24	7	2	15	7	6	12	0	0	
ìyäÚés	0	0	1	2	0	0	1	1	1	4	5	4	5	12	11	5	11	17	11	21	0	0	
çÇéRés	0	4	0	1	1	0	0	2	2	1	2	0	4	2	1	0	5	7	7	10	2	0	
îÚëÀés	0	0	0	0	0	1	3	2	0	0	0	0	0	1	1	0	0	0	2	0	0	0	
â∫òCés	0	0	0	0	0	2	0	0	0	0	2	8	4	9	3	4	3	5	0	8	0	0	
îíêÏë∫	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
